Trial Number,Flattened Array,Prediected Label
3,"[1.0, 1.4221058071328437e-22, 0.0, 1.0506655123015702e-14]",0
5,"[0.00015979973250068724, 0.06595254689455032, 0.9338877201080322, 2.782582220195451e-10]",2
6,"[0.9999573230743408, 1.734952378160473e-13, 3.9356938941637054e-05, 3.323094233564916e-06]",0
13,"[0.9991969466209412, 3.823466489840917e-15, 4.589407738390949e-13, 0.0008030150784179568]",0
14,"[0.07848421484231949, 0.6453768610954285, 0.27613893151283264, 4.995046887099281e-15]",1
21,"[0.99985671043396, 1.141576711497427e-14, 1.6401658058384783e-06, 0.0001416127197444439]",0
26,"[0.7918225526809692, 2.910518776943344e-13, 0.20817741751670837, 1.442577612920104e-08]",0
29,"[1.0, 9.495713390508259e-35, 3.8196688705614617e-16, 1.9367226045119423e-08]",0
36,"[9.115786874262441e-14, 1.3237083651418402e-09, 0.9998822212219238, 0.00011772011202992871]",2
37,"[2.5258114533244225e-07, 0.9999997615814209, 2.0684519756531638e-19, 2.9327009570812024e-11]",1
45,"[0.1507175713777542, 0.0006750517059117556, 0.7400063276290894, 0.10860110074281693]",2
47,"[4.721860932477284e-06, 5.1703842984807125e-08, 6.366077460467741e-34, 0.999995231628418]",3
50,"[0.9999914169311523, 7.583877959405072e-06, 9.658327826400637e-07, 1.1098573232323772e-12]",0
57,"[5.18063245635858e-07, 0.9987123012542725, 0.0012871877988800406, 3.2771008044669763e-15]",1
59,"[1.0, 0.0, 0.0, 8.255276084211141e-20]",0
61,"[0.010196863673627377, 0.9898028373718262, 0.0, 2.3551636729735037e-07]",1
63,"[0.9999512434005737, 1.9725595848285593e-05, 2.843149923137389e-05, 4.901482952845981e-07]",0
71,"[1.0834512067958713e-05, 0.9999891519546509, 3.312056406912234e-08, 1.0425565299954087e-08]",1
75,"[0.9999996423721313, 7.232950392323585e-26, 3.7240309035298236e-13, 3.423531893531617e-07]",0
78,"[0.9999909400939941, 5.946781682842804e-16, 5.725140681533958e-07, 8.414380317844916e-06]",0
80,"[1.0, 2.3247667640010504e-39, 1.437456021967919e-34, 4.499604244756483e-09]",0
85,"[0.005275364965200424, 5.381348699984301e-08, 0.9947245717048645, 2.7396757085185186e-10]",2
88,"[6.680692110627717e-11, 5.748688636231236e-06, 0.9999942779541016, 8.466807492591117e-20]",2
