Trial Number,Flattened Array,Prediected Label
7,"[10.3716, -47.5169, -18.2472, -4.5158]",0
8,"[-4.1781, 11.0135, -32.0089, -13.239]",1
14,"[-4.4335, 10.0384, 3.3844, -23.3121]",1
17,"[-2.5237, 8.839, 20.9055, -23.01]",2
18,"[14.4163, -63.9234, -21.0849, -3.3434]",0
20,"[71.1268, -71.3911, -606.3943, 27.186]",0
21,"[-10.0362, -5.4607, -118.453, -20.712]",1
23,"[3.1989, -8.2942, 8.4383, -13.5744]",2
24,"[-6.6304, -0.6076, 2.0428, -19.8913]",2
26,"[21.4327, -28.8721, -96.3564, -10.7541]",0
35,"[2.469, -8.3646, -7.999, -12.0596]",0
37,"[5.274, -24.1086, -4.8688, -7.3406]",0
38,"[1.0465, -27.5854, -0.2894, -16.7743]",0
44,"[-2.7811, -37.8396, -17.1544, -14.4667]",0
45,"[13.9182, -75.039, -64.0068, -5.3011]",0
50,"[-21.9299, -12.3465, 8.0962, -0.9509]",2
51,"[6.0807, -5.7088, -7.7696, -21.4461]",0
53,"[-2.9276, 8.5052, -8.7179, -9.8738]",1
60,"[3.0924, -29.0112, -10.2281, -5.7698]",0
64,"[6.8764, -26.3204, -21.5326, -0.2499]",0
67,"[4.3774, 6.4843, 5.6354, -26.0081]",1
80,"[-2.551, -7.9594, -0.9598, -2.8788]",2
82,"[-5.4498, -9.9642, -69.6234, 6.8135]",3
